Common Name,Scientific Name,Image URL,Freshwater,Saltwater
Brown garden eel,Heteroconger longissimus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Heteroconger_longissimus.jpg/120px-Heteroconger_longissimus.jpg,No,Yes
Brown hoplo,Hoplosternum littorale,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hoplosternum_littorale.jpg/120px-Hoplosternum_littorale.jpg,Yes,No
Brown trout,Salmo trutta,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Bachforelle_Zeichnung.jpg/120px-Bachforelle_Zeichnung.jpg,Yes,Yes
Bucktooth parrotfish,Sparisoma radians,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Sparisoma_radians_-_pone.0010676.g136.png/120px-Sparisoma_radians_-_pone.0010676.g136.png,No,Yes
Buffalo trunkfish,Lactophrys trigonus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Lactophrys_trigonus.jpg/120px-Lactophrys_trigonus.jpg,No,Yes
Bull shark,Carcharhinus leucas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Bullshark_Beqa_Fiji_2007.jpg/120px-Bullshark_Beqa_Fiji_2007.jpg,Yes,Yes
Bullet mackerel,Auxis rochei,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Auroc_u0.png/120px-Auroc_u0.png,No,Yes
Bullnose ray,Myliobatis freminvillei,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Myliobatis_freminvillei_%28S0935%29_%2812657337364%29.jpg/120px-Myliobatis_freminvillei_%28S0935%29_%2812657337364%29.jpg,No,Yes
Southern eagle ray,Myliobatis goodei,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Myliobatis_goodei%2C_Southern_eagle_ray%2C_topside.png/120px-Myliobatis_goodei%2C_Southern_eagle_ray%2C_topside.png,No,Yes
Bullseye snakehead,Channa marulius,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Channa_marulius.jpg/120px-Channa_marulius.jpg,Yes,No
Butter hamlet,Hypoplectrus unicolor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Butter_hamlet_fish.jpg/120px-Butter_hamlet_fish.jpg,No,Yes
Butterfish,Poronotus triacanthus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Poronotus_triacanthus.jpg/120px-Poronotus_triacanthus.jpg,No,Yes
Caesar grunt,Haemulon carbonarium,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Haemulon_carbonarium.jpg/120px-Haemulon_carbonarium.jpg,No,Yes
Cardinal soldierfish,Plectrypops retrospinis,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Plectrypops_retrospinis_-_pone.0010676.g037.png/120px-Plectrypops_retrospinis_-_pone.0010676.g037.png,No,Yes
Caribbean chestnut moray,Enchelycore carychroa,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Enchelycore_carychroa%2C_Head_%28Caribbean_Chestnut_Moray%29.jpg/120px-Enchelycore_carychroa%2C_Head_%28Caribbean_Chestnut_Moray%29.jpg,No,Yes
